listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
4 Bedroom Terrace House,9000000,6,5,6,Lekki Phase 1,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-8GUKR,16 Jun 2022
2 Bedroom Apartment,300000000,3,2,3,Banana Island Estate Banana Island,Ikoyi,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-3GULY,16 Jun 2022
3 Bedroom Fully Detached Duplex,15000000,4,3,4,Off Glover Road Old Ikoyi,Ikoyi,Lagos,Newly Built,09044442244,44,https://www.propertypro.ng/property/3-bedroom-house-for-rent-off-glover-road-old-ikoyi-ikoyi-lagos-6GRUL,31 May 2022
Fully Serviced 4 Bedroom Semi Detached Duplex,5500000,5,4,5,Chevron,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-2GMCA,27 Apr 2022
Newly Built 2 Bedroom Flat,700000,3,2,3,Elepe Estate Ebute,Ikorodu,Lagos,Newly Built,07010568925,5,https://www.propertypro.ng/property/2-bedroom-house-for-rent-elepe-estate-ebute-ikorodu-lagos-5GUKR,16 Jun 2022
4 Bedroom Semi Detached Duplex,6500000,5,4,5,Chevron,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-1GUKQ,16 Jun 2022
3 Bedroom Flat,3000000,4,3,4,Bera Estate Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-bera-estate-chevron-lekki-lagos-8GSVS,07 Jun 2022
Newly Built 3 Bedroom Flat,15000000,4,3,4,Off Boudilon Road Bourdillon,Ikoyi,Lagos,ServicedNewly Built,09035137760,7,https://www.propertypro.ng/property/3-bedroom-house-for-rent-off-boudilon-road-bourdillon-ikoyi-lagos-6GSSQ,06 Jun 2022
4 Bedroom Terrace Duplex,5000000,5,4,5,Ikate,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikate-lekki-lagos-7GSTX,06 Jun 2022
Newly Built 4 Bedroom Terrace Duplex,6000000,4,4,5,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,09168011083,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-3GNBB,05 May 2022
2 Bedroom Apartment,2500000,3,2,3,Ikota Gra,Lekki,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikota-gra-lekki-lagos-4GQQA,23 May 2022
4 Bedroom Terrace Duplex,4000000,5,4,5,Chevron Toll Gate Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-0GNHQ,07 May 2022
4 Bedroom Semi Detached Duplex,10000000,4,4,5,Dideolu Estate Oniru Victoria,Island,Lagos,ServicedNewly Built,07061131719,37,https://www.propertypro.ng/property/4-bedroom-house-for-rent-dideolu-estate-oniru-victoria-island-lagos-9GNAK,05 May 2022
3 Bedroom Apartment,13500000,4,3,4,Banana Island Estate Banana Island,Ikoyi,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-8GUXY,20 Jun 2022
5 Bedroom Flat,7000000,5,5,6,unstated,Guzape,Abuja,ServicedNewly Built,08160442385,13,https://www.propertypro.ng/property/5-bedroom-house-for-rent-guzape-abuja-6GKXD,23 Feb 2022
Fully Furnished 4 Bedroom Semi Detached Duplex,9000000,5,4,5,Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-9GPKZ,15 May 2022
Room And Parlor Self Contain,150000,1,1,2,Igbogbo Bayeku Road Ikorodu Lagos State Igbogbo,Ikorodu,Lagos,ServicedNewly Built,07010568925,8,https://www.propertypro.ng/property/1-bedroom-house-for-rent-igbogbo-bayeku-road-ikorodu-lagos-state-igbogbo-ikorodu-lagos-9GUMG,16 Jun 2022
2 Bedroom Apartment,9000000,3,2,3,Banana Island Estate Banana Island,Ikoyi,Lagos,ServicedNewly Built,09035137760,9,https://www.propertypro.ng/property/2-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4GVBH,20 Jun 2022
4 Bedroom Semi Detached House,7000000,5,4,5,Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-1GUUE,19 Jun 2022
Furnished 4 Bedroom Terrace Duplex,10000000,5,4,5,Oniru Victoria,Island,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-3GTUR,12 Jun 2022
2 Bedroom Flat,450000,3,2,3,Bobby Olofa Akobo,Ibadan,Oyo,ServicedNewly Built,08147747114,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-bobby-olofa-akobo-ibadan-oyo-1GRPB,29 May 2022
Standard 6 Bedroom Duplex,5500000,6,6,7,Brains And Hammers Estate,Apo,Abuja,ServicedNewly Built,08160442385,6,https://www.propertypro.ng/property/6-bedroom-house-for-rent-brains-and-hammers-estate-apo-abuja-8GNRN,10 May 2022
3 Bedroom Apartment,2000000,3,3,4,Agungi,Lekki,Lagos,ServicedNewly Built,09121180993,12,https://www.propertypro.ng/property/3-bedroom-house-for-rent-agungi-lekki-lagos-2GUDN,15 Jun 2022
Standard 3 Bed Room Located In Jabi 4m Service Charge 250,4000000,3,3,4,Close To Ndcc,Jabi,Abuja,ServicedNewly Built,08053979149,3,https://www.propertypro.ng/property/3-bedroom-house-for-rent-close-to-ndcc-jabi-abuja-4GVPS,23 Jun 2022
Brand New 4bedroom Terrace Duplex,3500000,4,4,5,Lifecamp District Life,Camp,Abuja,Newly Built,08106600637,27,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lifecamp-district-life-camp-abuja-8GJMP,07 Apr 2022
4 Bedroom Duplex,2500000,4,4,5,Ajao Estate Isolo. Lagos Mainland,Isolo,Lagos,Newly Built,08186969203,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ajao-estate-isolo-lagos-mainland-isolo-lagos-4GUEP,15 Jun 2022
Newly Built 4 Bedroom Detached House,2000000,4,4,5,"Valley View Estate, Olu Odo, Igbogbo Road Igbogbo",Ikorodu,Lagos,Newly Built,08024921567,6,https://www.propertypro.ng/property/4-bedroom-house-for-rent-valley-view-estate-olu-odo-igbogbo-road-igbogbo-ikorodu-lagos-0GVNX,23 Jun 2022
Spacious 4 Bedroom Semi Detached Duplex With Bq,5000000,4,4,5,Ikota Villa By Mega Chicken Ikota,Lekki,Lagos,Newly Built,08033354125,11,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-villa-by-mega-chicken-ikota-lekki-lagos-4GLZL,27 Apr 2022
Newly Built 5 Bedroom Fully Detached Duplex,7000000,5,5,5,Alternative Route Chevron,Lekki,Lagos,Newly Built,09029604948,13,https://www.propertypro.ng/property/5-bedroom-house-for-rent-alternative-route-chevron-lekki-lagos-6GVNR,23 Jun 2022
3 Bedroom Duplex,2000000,3,3,4,Olowora,Ojodu,Lagos,Newly Built,08024423791,24,https://www.propertypro.ng/property/3-bedroom-house-for-rent-olowora-ojodu-lagos-4GUXE,20 Jun 2022
Newly Built 5bedroom Fully Detached Duplex,7000000,5,5,5,Osapa London,Lekki,Lagos,Newly Built,09029604948,7,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-0GVNL,23 Jun 2022
Brand New Luxury 3 Bedroom Terraced Duplex In An Exclusive Estate,4200000,3,3,4,Sangotedo,Ajah,Lagos,Newly Built,08062345097,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sangotedo-ajah-lagos-8GVNK,23 Jun 2022
A Standard Three Bedroom Bungalow Alone In The Compound,1300000, ,3, ,Badore Road Badore,Ajah,Lagos,Newly Built,07031120682,14,https://www.propertypro.ng/property/3-bedroom-house-for-rent-badore-road-badore-ajah-lagos-4GVNG,23 Jun 2022
Tastefully 3 Bedroom Flat,600000,3,3,4,Felele Challenge,Ibadan,Oyo,Newly Built,07065057152,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-felele-challenge-ibadan-oyo-9GVNF,23 Jun 2022
Elegant 4 Bedroom Duplex,2000000,4,4,5,Cedar Estate Oluyole Estate,Ibadan,Oyo,Newly Built,07065057152,6,https://www.propertypro.ng/property/4-bedroom-house-for-rent-cedar-estate-oluyole-estate-ibadan-oyo-6GVNF,23 Jun 2022
Fully Serviced 3bedroom Semi Detached Duplex,4000000,3,3,3,Agungi,Lekki,Lagos,Newly Built,09029604948,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-agungi-lekki-lagos-6GVNE,23 Jun 2022
Newly Built 4 Bedroom Semi Detached Duplex,6000000,4,4,5,Agungi,Lekki,Lagos,Newly Built,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-agungi-lekki-lagos-7GSDT,02 Jun 2022
4 Bedroom Semi Detached Duplex;,4500000,4,4,5,"Orchid Road,",Lekki,Lagos,Serviced,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-orchid-road-lekki-lagos-7GKSP,16 Apr 2022
Newly Built 5 Bedroom Detached Duplex,6000000,5,5,6,Ikota,Lekki,Lagos,Serviced,08082163583,9,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-5GPPJ,16 May 2022
Self Service 4 Bedrooms Terraced Duplex,14000000,4,4,5,Mojisola Onikoyi Estate,Ikoyi,Lagos,Serviced,090902999998,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-mojisola-onikoyi-estate-ikoyi-lagos-3GPJX,14 May 2022
Fully Serviced 4 Bedroom Semi Detached Duplex,4500000,4,4,5,"Northpoint Estate, Chevron",Lekki,Lagos,Serviced,07057302511,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-northpoint-estate-chevron-lekki-lagos-2GRXT,31 May 2022
Spacious 4 Bedroom Detached Duplex,5000000,4,4,5,Ologolo,Lekki,Lagos,Serviced,08082163583,11,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ologolo-lekki-lagos-8GQBP,19 May 2022
Spacious 5 Bedroom Semi Detached Duplex,13000000,5,5,6,Lekki Phase 1,Lekki,Lagos,Serviced,08082163583,9,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-7GUCF,14 Jun 2022
4 Bedroom Semi Detached Duplex,4500000,4,4,5,Second Tollgate,Lekki,Lagos,Serviced,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-second-tollgate-lekki-lagos-1GLDH,20 Apr 2022
4 Bedroom Semi Detached Duplex;,5500000,4,4,5,Second Tollgate,Lekki,Lagos,Serviced,08082163583,16,https://www.propertypro.ng/property/4-bedroom-house-for-rent-second-tollgate-lekki-lagos-8GLGZ,21 Apr 2022
Well Finished 4 Bedroom Semi Detached Duplex,4500000,4,4,5,"Royalty Road, Ikota Villa Estate.",Lekki,Lagos,Furnished,08082163583,13,https://www.propertypro.ng/property/4-bedroom-house-for-rent-royalty-road-ikota-villa-estate-lekki-lagos-7GKPN,15 Apr 2022
4 Bedroom Semi Detached Duplex,4000000,4,4,5,Second Tollgate,Lekki,Lagos,Furnished,08082163583,11,https://www.propertypro.ng/property/4-bedroom-house-for-rent-second-tollgate-lekki-lagos-5GKME,14 Apr 2022
Newly Built 4 Bedroom Terrace Duplex,5000000,4,4,5,Osapa London,Lekki,Lagos,Furnished,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-8GNAB,05 May 2022
Furnished 3 Bedroom Terrace Duplex,25000000,3,3,4,Banana Island,Ikoyi,Lagos,Furnished,08082163583,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-banana-island-ikoyi-lagos-9GRWN,31 May 2022
3 Units Of 5 Bedroom Detached House,145000000,5,5,6,Laguna Beach,Lekki,Lagos,Furnished,08082163583,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-laguna-beach-lekki-lagos-5GVAZ,20 Jun 2022
5 Bedroom Fully Detached House,20000000,5,5,6,Central Ikoyi Old Ikoyi,Ikoyi,Lagos,Furnished,08124269637,18,https://www.propertypro.ng/property/5-bedroom-house-for-rent-central-ikoyi-old-ikoyi-ikoyi-lagos-2FYCY,08 Jun 2022
Newly Built 4 Bedroom Terrace / Maisonette,15000000,4,4,5,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,Furnished,08124269637,9,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-9GFBG,14 Mar 2022
Classy 4 Bedroom Terrace House,19000000,4,4,5,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,Furnished,08124269637,14,https://www.propertypro.ng/property/4-bedroom-house-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-7GGTH,24 Mar 2022
5 Bedroom Duplex,12000000,5,5,6,Lekki Phase 1,Lekki,Lagos,old,07030598736,14,https://www.propertypro.ng/property/5-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4GRGT,26 May 2022
A Spacious 4 Bedroom Terraces Duplex,5000000,4,4,6,Main Maitama,Maitama,Abuja,old,08053979149,11,https://www.propertypro.ng/property/4-bedroom-house-for-rent-main-maitama-maitama-abuja-6GRNP,28 May 2022
4 Bedroom Terrace Duplex,8000000,4,4,5,Victoria,Island,Lagos,old,08082163583,19,https://www.propertypro.ng/property/4-bedroom-house-for-rent-victoria-island-lagos-7GTNE,10 Jun 2022
7 Bedroom Fully Detached House,20000000,7,7,8,Adeola Odeku Victoria,Island,Lagos,old,08124269637,4,https://www.propertypro.ng/property/7-bedroom-house-for-rent-adeola-odeku-victoria-island-lagos-3FXHN,15 Jun 2022
Executive 4 Bedroom Semi Detached House,12500000,4,4,5,Banana Island,Ikoyi,Lagos,old,08124269637,4,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-ikoyi-lagos-9FYDB,08 Jun 2022
4 Bedroom Semi Detached Duplex;,4500000,4,4,5,Second Tollgate,Lekki,Lagos,old,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-second-tollgate-lekki-lagos-3GLHB,21 Apr 2022
3 Bedroom Flat,2500000,2,3,2,Osapa London,Lekki,Lagos,old,08177766550,18,https://www.propertypro.ng/property/3-bedroom-house-for-rent-osapa-london-lekki-lagos-2GMVH,04 May 2022
Newly Built 5 Bedroom Detached House,25000000,5,5,6,Off Alfred Rewane Old Ikoyi,Ikoyi,Lagos,ServicedNewly Built,08124269637,1,https://www.propertypro.ng/property/5-bedroom-house-for-rent-off-alfred-rewane-old-ikoyi-ikoyi-lagos-0FYCE,08 Jun 2022
