listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
1200sqm Of Land,700000,0,0,0,Aso Street Parkview Estate Parkview Estate,Ikoyi,Lagos,,09044442244,23,https://www.propertypro.ng/property/land-for-sale-aso-street-parkview-estate-parkview-estate-ikoyi-lagos-8GSGM
A Luxury And Exquisitely Brand New And Expensive Finished 3bedroom Terrace And A Bq Attached For Sale In Jahi,110000000,3,3,4,Jahi/gimor,Jahi,Abuja,Newly Built,08036492297,23,https://www.propertypro.ng/property/3-bedroom-house-for-sale-jahi-gimor-jahi-abuja-4GVDD
Lavishly Built 5 Bedroom Detached House,1000000000,5,5,6,"Cooper Road, Old Ikoyi",Ikoyi,Lagos,Newly Built,08082445909,23,https://www.propertypro.ng/property/5-bedroom-house-for-sale-cooper-road-old-ikoyi-ikoyi-lagos-0FFJW
5 Bedrooms Detached Duplex,165000000,5,5,6,"Simon Chibukor, Mega Mound Estate,",Lekki,Lagos,Newly Built,08082445909,23,https://www.propertypro.ng/property/5-bedroom-house-for-sale-simon-chibukor-mega-mound-estate-lekki-lagos-0FFKH
4 Bedroom Semi Detached Duplex,70000000,4,4,5,"Godspower Inegbenosun Street, Oshorun Heritage Estate, Off Channels Tv Road, Opic Isheri North Ojodu Lagos Isheri North",Ojodu,Lagos,Newly Built,08082445909,23,https://www.propertypro.ng/property/4-bedroom-house-for-sale-godspower-inegbenosun-street-oshorun-heritage-estate-off-channels-tv-road-opic-isheri-north-ojodu-lagos-isheri-north-ojodu-lagos-3FUEQ
Smart 4 Bedroom Detached House,395000000,4,4,5,"Oduduwa Street, Ikeja Gra",Ikeja,Lagos,Newly Built,08082445909,23,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oduduwa-street-ikeja-gra-ikeja-lagos-6GGYJ
Ultra Modern 3 Bedroom Apartment + Bq,875000,3,3,4,Eko Pearl Eko Atlantic Victoria,Island,Lagos,Serviced,08124269637,23,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-eko-pearl-eko-atlantic-victoria-island-lagos-3GAFR
Ultra Modern 2 Bedroom Apartment +bq,710000,2,2,3,Eko Pearl Eko Atlantic Victoria,Island,Lagos,Serviced,08124269637,23,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-eko-pearl-eko-atlantic-victoria-island-lagos-0GAFS
Brand New 4 Bedroom Semi Detached House,50000000,4,4,5,Opposite Chevron,Lekki,Lagos,,08082163583,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opposite-chevron-lekki-lagos-7FSNJ
Premium 3 Bedroom Apartment + Bq,220000000,3,3,4,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-old-ikoyi-old-ikoyi-ikoyi-lagos-3GCJJ
Nicely Built 4 Bedroom Semi Detached Duplex With Bq;,85000000,4,4,5,Chevron,Lekki,Lagos,,08082163583,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-4GGWZ
Tastefully Built 3 Bedroom Apartment;,45000000,3,3,4,Ikate,Lekki,Lagos,,08082163583,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-7GGXL
Luxury Waterfront 5 Bedroom House,600000000,0,0,0,,Ikoyi,Lagos,,08124269637,8,https://www.propertypro.ng/property/house-for-sale-ikoyi-lagos-9GCJQ
Serviced 2 Bedroom Apartment;,65000000,2,2,3,Ikate,Lekki,Lagos,Serviced,08082163583,8,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-0GKAV
Newly Built 2 Bedroom Terrace Duplex;,45000000,2,2,3,Second Tollgate,Lekki,Lagos,ServicedNewly Built,08082163583,8,https://www.propertypro.ng/property/2-bedroom-house-for-sale-second-tollgate-lekki-lagos-2GPFZ
Spacious 3 Bedroom Flat,276000000,3,3,4,Banana Island,Ikoyi,Lagos,,08082163583,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-banana-island-ikoyi-lagos-8GSDM
Nicely Built 4 Bedroom Terrace Duplex,52000000,4,4,5,Chevron Drive,Lekki,Lagos,,08082163583,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-chevron-drive-lekki-lagos-3GTJD
4 Bedroom Semi Detached House + Bq,400000000,3,4,4,Banana Island Estate Banana Island,Ikoyi,Lagos,Serviced,08124269637,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-banana-island-estate-banana-island-ikoyi-lagos-8GDVY
New 5 Bedroom Detached House + Bq,850000000,5,5,6,Ikoyi,Ikoyi,Lagos,Newly Built,08124269637,8,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-ikoyi-lagos-0GFAW
Fully Detached 6 Bedroom Villa,2120000000,6,6,7,Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,8,https://www.propertypro.ng/property/6-bedroom-house-for-sale-old-ikoyi-ikoyi-lagos-8GHNH
Newly Built 4 Bedroom Terrace House + Bq,501000000,4,4,5,Banana Island,Ikoyi,Lagos,ServicedNewly Built,08124269637,8,https://www.propertypro.ng/property/4-bedroom-house-for-sale-banana-island-ikoyi-lagos-3GHPQ
Land Measuring 670m²,45000000, , , ,"Chaplin Court By Abraham Adesanya Estate Off Ogombo Road,",Ajah,Lagos,,07057302511,8,https://www.propertypro.ng/property/land-for-sale-chaplin-court-by-abraham-adesanya-estate-off-ogombo-road-ajah-lagos-5FUVL
Land,40000000,0,0,0,Area T New Owerri By Portharcourt Road,Owerri,Imo,,07034744114,8,https://www.propertypro.ng/property/land-for-sale-area-t-new-owerri-by-portharcourt-road-owerri-imo-4GSUM
600sqm Of Land,12000000,0,0,0,"Opposite Fara Park Estate By Majek Bus Stop, Off Lekki Epe Express Road, Lagos. Sangotedo",Ajah,Lagos,,08132874237,8,https://www.propertypro.ng/property/land-for-sale-opposite-fara-park-estate-by-majek-bus-stop-off-lekki-epe-express-road-lagos-sangotedo-ajah-lagos-0GSNC
300sqm Of Land,60000000,0,0,0,"Yaba College Of Technology , University Of Lagos Oworonshoki",Gbagada,Lagos,,08132874237,8,https://www.propertypro.ng/property/land-for-sale-yaba-college-of-technology-university-of-lagos-oworonshoki-gbagada-lagos-9GTJQ
600sqm Of Land,4000000,0,0,0,Neander International School/alaro City/pan Atlantic University,Epe,Lagos,,08132874237,8,https://www.propertypro.ng/property/land-for-sale-neander-international-school-alaro-city-pan-atlantic-university-epe-lagos-6GTWR
New 5 Bedroom Detached House,120000000,5,5,6,Lekki County Estate Lekki Lagos Lekki Phase 1,Lekki,Lagos,Newly Built,090902999998,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-county-estate-lekki-lagos-lekki-phase-1-lekki-lagos-8GMUY
4 Bedrooms Semi Detached Duplex +bq And Cinema,240000000,4,4,5,Oniru Estate Oniru Victoria,Island,Lagos,Newly Built,090902999998,20,https://www.propertypro.ng/property/4-bedroom-house-for-sale-oniru-estate-oniru-victoria-island-lagos-9GMUZ
5 Bedrooms Detached Apartment,250000000,5,5,6,Ikate Elegushi Lekki Lagos Ikate,Lekki,Lagos,Newly Built,090902999998,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-elegushi-lekki-lagos-ikate-lekki-lagos-4GPQR
5 Bedrooms Detached Apartment,750000000,5,5,6,Park View Estate Ikoyi Parkview Estate,Ikoyi,Lagos,FurnishedNewly Built,090902999998,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-park-view-estate-ikoyi-parkview-estate-ikoyi-lagos-7GPQR
Available Plots Of Land For Investment Purchase,950000, , , ,Ibeju Town Besides Pan Atlantic University Eleko Ibeju,Ibeju-Lekki,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-ibeju-town-besides-pan-atlantic-university-eleko-ibeju-lekki-lagos-0FVTD
4 Bedroom Detached Duplex,35000000,0,4,0,Naze By Industrial Market,Owerri,Imo,Newly Built,09099291672,20,https://www.propertypro.ng/property/4-bedroom-house-for-sale-naze-by-industrial-market-owerri-imo-0GNMH
Land,4500000,0,0,0,Epe Resort And Spa Epe Road,Epe,Lagos,,09099291672,20,https://www.propertypro.ng/property/land-for-sale-epe-resort-and-spa-epe-road-epe-lagos-8GTYE
