listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
Ultra Modern 3 Bedroom Apartment + Bq,875000,3,3,4,,Island,Lagos,unstated,08124269637,1,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-eko-pearl-eko-atlantic-victoria-island-lagos-3GAFR,06 Feb 2022
Ultra Modern 2 Bedroom Apartment +bq,710000,2,2,3,,Island,Lagos,unstated,08124269637,1,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-eko-pearl-eko-atlantic-victoria-island-lagos-0GAFS,06 Feb 2022
Fully Detached 5 Bedroom House,950000000,5,5,6,,Ikoyi,Lagos,unstated,08124269637,12,https://www.propertypro.ng/property/5-bedroom-house-for-sale-banana-island-ikoyi-lagos-2GBXK,18 Feb 2022
Brand New 4 Bedroom Semi Detached House,50000000,4,4,5,,Lekki,Lagos,unstated,08082163583,12,https://www.propertypro.ng/property/4-bedroom-house-for-sale-opposite-chevron-lekki-lagos-7FSNJ,25 Nov 2021
Premium 3 Bedroom Apartment + Bq,220000000,3,3,4,,Ikoyi,Lagos,unstated,08124269637,5,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-old-ikoyi-old-ikoyi-ikoyi-lagos-3GCJJ,22 Feb 2022
Tastefully Built 3 Bedroom Apartment;,45000000,3,3,4,Lekki,Lekki,Lagos,unstated,08082163583,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-7GGXL,25 Mar 2022
Luxury Waterfront 5 Bedroom House,600000000,0,0,0,Ikoyi Lagos,Ikoyi,Lagos,unstated,08124269637,2,https://www.propertypro.ng/property/house-for-sale-ikoyi-lagos-9GCJQ,22 Feb 2022
Newly Built 2 Bedroom Terrace Duplex;,45000000,2,2,3,,Lekki,Lagos,unstated,08082163583,11,https://www.propertypro.ng/property/2-bedroom-house-for-sale-second-tollgate-lekki-lagos-2GPFZ,13 May 2022
4 Bedroom Semi Detached House + Bq,400000000,3,4,4,,Ikoyi,Lagos,unstated,08124269637,2,https://www.propertypro.ng/property/4-bedroom-house-for-sale-banana-island-estate-banana-island-ikoyi-lagos-8GDVY,04 Mar 2022
New 5 Bedroom Detached House + Bq,850000000,5,5,6,Ikoyi,Ikoyi,Lagos,unstated,08124269637,6,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-ikoyi-lagos-0GFAW,14 Mar 2022
Newly Built 4 Bedroom Terrace House + Bq,501000000,4,4,5,,Ikoyi,Lagos,unstated,08124269637,4,https://www.propertypro.ng/property/4-bedroom-house-for-sale-banana-island-ikoyi-lagos-3GHPQ,31 Mar 2022
Land Measuring 670m²,45000000, , , ,,Ajah,Lagos,unstated,07057302511,6,https://www.propertypro.ng/property/land-for-sale-chaplin-court-by-abraham-adesanya-estate-off-ogombo-road-ajah-lagos-5FUVL,16 Dec 2021
Land,40000000,0,0,0,,Owerri,Imo,unstated,07034744114,4,https://www.propertypro.ng/property/land-for-sale-area-t-new-owerri-by-portharcourt-road-owerri-imo-4GSUM,07 Jun 2022
600sqm Of Land,12000000,0,0,0,,Ajah,Lagos,unstated,08132874237,1,https://www.propertypro.ng/property/land-for-sale-opposite-fara-park-estate-by-majek-bus-stop-off-lekki-epe-express-road-lagos-sangotedo-ajah-lagos-0GSNC,04 Jun 2022
300sqm Of Land,60000000,0,0,0,,Gbagada,Lagos,unstated,08132874237,1,https://www.propertypro.ng/property/land-for-sale-yaba-college-of-technology-university-of-lagos-oworonshoki-gbagada-lagos-9GTJQ,09 Jun 2022
600sqm Of Land,4000000,0,0,0,,Epe,Lagos,unstated,08132874237,1,https://www.propertypro.ng/property/land-for-sale-neander-international-school-alaro-city-pan-atlantic-university-epe-lagos-6GTWR,13 Jun 2022
4 Bedroom Duplex,65000000,4,4,5,Sangotedo Lagos,Sangotedo,Lagos,unstated,08060623971,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-sangotedo-lagos-5GVBQ,20 Jun 2022
New 5 Bedroom Detached House,120000000,5,5,6,,Lekki,Lagos,unstated,090902999998,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-lekki-county-estate-lekki-lagos-lekki-phase-1-lekki-lagos-8GMUY,04 May 2022
5 Bedrooms Detached Apartment,250000000,5,5,6,,Lekki,Lagos,unstated,090902999998,20,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikate-elegushi-lekki-lagos-ikate-lekki-lagos-4GPQR,17 May 2022
5 Bedrooms Detached Apartment,750000000,5,5,6,,Ikoyi,Lagos,unstated,090902999998,15,https://www.propertypro.ng/property/5-bedroom-house-for-sale-park-view-estate-ikoyi-parkview-estate-ikoyi-lagos-7GPQR,17 May 2022
Available Plots Of Land For Investment Purchase,950000, , , ,,Ibeju-Lekki,Lagos,unstated,09099291672,5,https://www.propertypro.ng/property/land-for-sale-ibeju-town-besides-pan-atlantic-university-eleko-ibeju-lekki-lagos-0FVTD,28 Dec 2021
4 Bedroom Detached Duplex,35000000,0,4,0,,Owerri,Imo,unstated,09099291672,2,https://www.propertypro.ng/property/4-bedroom-house-for-sale-naze-by-industrial-market-owerri-imo-0GNMH,09 May 2022
Land,4500000,0,0,0,,Epe,Lagos,unstated,09099291672,6,https://www.propertypro.ng/property/land-for-sale-epe-resort-and-spa-epe-road-epe-lagos-8GTYE,14 Jun 2022
Land,1000000,0,0,0,,Ibeju-Lekki,Lagos,unstated,09099291672,4,https://www.propertypro.ng/property/land-for-sale-oriba-town-eleranigbe-ibeju-lekki-lagos-1GTYF,14 Jun 2022
Land,1500000,0,0,0,,Ibeju-Lekki,Lagos,unstated,09099291672,4,https://www.propertypro.ng/property/land-for-sale-oluode-town-eleranigbe-ibeju-lekki-lagos-6GTYF,14 Jun 2022
Land,1300000,0,0,0,,Epe,Lagos,unstated,09099291672,9,https://www.propertypro.ng/property/land-for-sale-odoegiri-town-epe-lagos-7GTYF,14 Jun 2022
Land,2000000,0,0,0,,Ibeju-Lekki,Lagos,unstated,09099291672,5,https://www.propertypro.ng/property/land-for-sale-eleranigbe-ibeju-lekki-lagos-9GTYF,14 Jun 2022
Land,2500000,0,0,0,,Ibeju-Lekki,Lagos,unstated,09099291672,5,https://www.propertypro.ng/property/land-for-sale-mayinre-road-eleranigbe-ibeju-lekki-lagos-5GUGV,15 Jun 2022
Land,1300000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,09099291672,4,https://www.propertypro.ng/property/land-for-sale-ajegbenwa-road-eleranigbe-ibeju-lekki-lagos-3GUGX,15 Jun 2022
600sqm Of Land,11600000,0,0,0,,Ibeju-Lekki,Lagos,Newly Built,09056385561,3,https://www.propertypro.ng/property/land-for-sale-eleko-ibeju-lekki-lagos-7GRNE,28 May 2022
4 Bedroom Semi Detached Duplex,65000000,5,4,5,Lekki,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-5GUYN,20 Jun 2022
5 Bedroom Fully Detached Duplex,200000000,6,5,6,,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-6GUYL,20 Jun 2022
Well Finished 5 Bedroom Fully Detached Duplex,140000000,5,5,6,,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-chevron-drive-chevron-lekki-lagos-4GUYK,20 Jun 2022
5 Bedroom Automated Terrace Duplex,55500000,6,5,6,,Gwarinpa,Abuja,Newly Built,08071207696,7,https://www.propertypro.ng/property/5-bedroom-house-for-sale-34-crescent-by-kelina-hospital-3rd-avenue-gwarinpa-abuja-3GPUV,18 May 2022
Four Bedroom Flat,24500000,4,4,4,,Camp,Abuja,Newly Built,08071207696,7,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-sale-dape-by-berger-clinic-life-camp-abuja-4GKGR,13 Apr 2022
Newly Renovated 4 Bedroom Semi Detached Duplex,300000000,4,4,4,,Island,Lagos,Newly Built,08026820114,20,https://www.propertypro.ng/property/4-bedroom-house-for-sale-amodu-ojikutu-street-saka-tinubu-victoria-island-lagos-2GGYP,26 Mar 2022
4 Bedroom Terrace House,55000000,4,4,5,,Lekki,Lagos,Newly Built,08082163583,10,https://www.propertypro.ng/property/4-bedroom-house-for-sale-second-tollgate-lekki-lagos-7GJCH,04 Apr 2022
2 Bedroom Flat,48000000,2,2,3,Lekki,Lekki,Lagos,Newly Built,08082163583,18,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-0GRTB,30 May 2022
"1,000m² Of Land",380000000,0,0,0,,Lekki,Lagos,Newly Built,07057302511,1,https://www.propertypro.ng/property/land-for-sale-daniyan-natalia-street-lekki-phase-1-lekki-lagos-4GUWG,20 Jun 2022
Land With Approved C Of O,7500000,0,0,0,,Epe,Lagos,Newly Built,08036411790,6,https://www.propertypro.ng/property/land-for-sale-the-lagoon-front-estate-alarocity-epe-road-epe-lagos-5FQLF,06 Nov 2021
2 Bedroom Apartment,135000000,2,2,3,,Ikoyi,Lagos,Newly Built,08124269637,7,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-banana-island-estate-banana-island-ikoyi-lagos-1GMRL,03 May 2022
A Block Of 4 Unit Of 3 Bedroom Flats With C Of O For Sale,65000000,3,3,4,,Ifo,Ogun,Newly Built,08036411790,7,https://www.propertypro.ng/property/3-bedroom-house-for-sale-alagbole-ojodu-berger-ikeja-alausa-ifo-ifo-ogun-2FQHC,04 Nov 2021
Affordable Freehold Land,1550000, , , ,,Ibeju-Lekki,Lagos,Newly Built,08036411790,3,https://www.propertypro.ng/property/land-for-sale-oakwood-estate-dangote-refinery-la-campaign-tropicana-lacampaigne-tropicana-ibeju-lekki-lagos-4FQGM,04 Nov 2021
Newly Built 3 Bedroom Apartment + Bq + Gym,240000000,3,3,4,Ikoyi Lagos,Ikoyi,Lagos,Newly Built,08124269637,6,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikoyi-lagos-9GKCW,12 Apr 2022
5 Bedroom Semi Detached House *,400000000,0,0,0,,Ikoyi,Lagos,Newly Built,08124269637,4,https://www.propertypro.ng/property/house-for-sale-banana-island-road-ikoyi-lagos-2GKLH,14 Apr 2022
2 Bedroom Apartment,45000000,3,2,3,Lekki,Lekki,Lagos,Newly Built,09035137760,9,https://www.propertypro.ng/property/2-bedroom-house-for-sale-agungi-lekki-lagos-3GUMV,17 Jun 2022
Spacious 2 Bedroom Apartment With Swimming Pool,35000000,2,2,3,,Ajah,Lagos,ServicedNewly Built,07030598736,11,https://www.propertypro.ng/property/2-bedroom-house-for-sale-off-lekki-epe-expressway-ajah-lagos-8GPFY,13 May 2022
Executive 5 Bedroom Fully Detached Duplex Available,650000000,6,5,6,Ikoyi Lagos,Ikoyi,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-sale-ikoyi-lagos-9FKZG,28 Sep 2021
