listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Newly Built 4 Bedroom Semi Detached Duplex,5000000,4,4,5,Chevron,Lekki,Lagos,ServicedNewly Built,07038641144,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-5GSTZ
2 Bedroom Flat,6000000,2,2,3,Ikate,Lekki,Lagos,FurnishedNewly Built,07086048604,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-9GRRC
Luxury 3 Bedroom Apartment,20000000,3,3,4,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-6GKEC
2 Bedroom Terrace Duplex,4500000,3,2,3,Ikate,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-lekki-lagos-8GTPG
3 Bedroom Duplex,4500000,2,3,3,Lekki Phase 1,Lekki,Lagos,,07030598736,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-4GPGA
Newly Built 2 Bedroom Apartment,8000000,3,2,3,Oniru Victoria,Island,Lagos,,07086048604,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-oniru-victoria-island-lagos-0GRJC
4 Bedroom Terrace Duplex,4000000,5,4,5,Ologolo,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ologolo-lekki-lagos-0GSLZ
Office Space,60000,0,0,0,Ikeja Gra,Ikeja,Lagos,,08028761350,8,https://www.propertypro.ng/property/commercial-property-for-rent-ikeja-gra-ikeja-lagos-9GSCM
4 Bedroom Semi Detached Duplex,4500000,5,4,5,Ikota,Lekki,Lagos,ServicedNewly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-6GNAT
4 Bedroom Detached Duplex,6500000,5,4,5,Chevron,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-2GSSH
Newly Built 4 Bedroom Detached Duplex,6000000,4,4,5,,Lekki,Lagos,ServicedNewly Built,07038641144,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-lagos-0GSTS
3 Bedroom Apartment,11000000,3,3,4,Banana Island Estate,Ikoyi,Lagos,Serviced,08124269637,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-estate-ikoyi-lagos-9GSQT
4 Bedroom Terrace Duplex,4500000,5,4,5,Conservation Road Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-conservation-road-chevron-lekki-lagos-2GPAH
Newly Built 5 Bedroom Detached Duplex,8000000,6,5,6,Osapa London,Lekki,Lagos,,07086048604,8,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-1GRJB
7 Bedroom Detached House,25000000,0,7,0,Ikeja Gra,Ikeja,Lagos,,08028761350,8,https://www.propertypro.ng/property/7-bedroom-house-for-rent-ikeja-gra-ikeja-lagos-2GSCM
4 Bedroom Terrace Duplex,3800000,5,4,5,Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-lekki-lagos-7GSYP
4 Bedroom Semi Detached Duplex,5000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-0GMTA
Luxury 3 Bedroom Apartment,14500000,3,3,4,Old Ikoyi Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-old-ikoyi-old-ikoyi-ikoyi-lagos-4GRTZ
3 Bedroom Flat,2000000,3,3,4,Sangotedo,Ajah,Lagos,Newly Built,08177766115,8,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-sangotedo-ajah-lagos-8GSSW
4 Units Of 4 Bedroom Terrace Duplex,10000000,0,4,0,Ikeja Gra,Ikeja,Lagos,,08028761350,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikeja-gra-ikeja-lagos-5GSCM
Spacious 5 Bedroom Detached House,8000000,6,5,6,Idado,Lekki,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/5-bedroom-house-for-rent-idado-lekki-lagos-8GLYU
3 Bedroom Duplex,3500000,0,3,0,Opebi,Ikeja,Lagos,,08180249383,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-opebi-ikeja-lagos-4GUPP
3 Bedroom Flat,3000000,4,3,4,Chevron,Lekki,Lagos,,09035137760,8,https://www.propertypro.ng/property/3-bedroom-house-for-rent-chevron-lekki-lagos-1GUKR
Fully Serviced 4 Bedrooms Massionette,10500000,5,4,5,Oniru Victoria,Island,Lagos,ServicedNewly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-0GPLC
